Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.74824115E8,4771448.0,52173.0,288.0,52173.0,7036104.0,29323.0,767.0,,767.0
Sweden,Europe,2751035,26638,168,2,168,27219,264,13,,13
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,23983621,16435,25835,18,25835,402232,276,70,,70
Australia,Western Pacific,11799677,46273,7002,27,7002,24810,97,12,,12
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Zimbabwe,Africa,266355,1792,,,,5739,39,,,
Micronesia (Federated States of),Western Pacific,26547,23080,,,,65,57,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Latvia,Europe,977701,51251,,,,7465,391,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Northern Mariana Islands,Western Pacific,14341,24916,,,,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835031,8236,115,1,115,10353,102,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Belarus,Europe,994037,10520,,,,7118,75,,,
Democratic Republic of the Congo,Africa,99338,111,,,,1468,2,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Tonga,Western Pacific,16950,16037,,,,12,11,,,
Marshall Islands,Western Pacific,16138,27263,,,,17,29,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24908726,36692,1402,2,1402,232112,342,,,
Cyprus,Europe,681110,76701,,,,1365,154,,,
Turks and Caicos Islands,Americas,6747,17426,,,,40,103,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2048588,1244,356,,356,29491,18,2,,2
French Polynesia,Western Pacific,79254,28214,,,,650,231,,,
Sierra Leone,Africa,7779,98,,,,125,2,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Jamaica,Americas,156776,5294,,,,3593,121,,,
British Virgin Islands,Americas,7392,24447,,,,64,212,,,
Guyana,Americas,73805,9383,,,,1300,165,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
Curaçao,Americas,45883,27962,,,,305,186,,,
Peru,Americas,4525983,13727,75,,75,220732,669,10,,10
Estonia,Europe,610125,45909,55,4,55,2995,225,1,,1
Austria,Europe,6081287,68321,,,,22534,253,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Wallis and Futuna,Western Pacific,3550,31567,,,,8,71,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30069,16375,,,,409,223,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Mauritania,Africa,63846,1373,,,,997,21,,,
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011490,30854,11,,11,2284,70,,,
Rwanda,Africa,133208,1028,,,,1468,11,,,
Bulgaria,Europe,1328885,19117,121,2,121,38691,557,,,
Hungary,Europe,2230202,22828,43,,43,49046,502,,,
Burkina Faso,Africa,22109,106,,,,400,2,,,
United Republic of Tanzania,Africa,43223,72,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Chile,Americas,5322525,27843,,,,61665,323,,,
Samoa,Western Pacific,16962,8549,,,,31,16,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Croatia,Europe,1309728,32274,,,,18687,460,,,
Malta,Europe,121397,23592,4,1,4,904,176,1,,1
Barbados,Americas,108047,37598,,,,593,206,,,
Panama,Americas,1039328,24088,,,,8656,201,,,
Côte d'Ivoire,Africa,88384,335,,,,835,3,,,
Palau,Western Pacific,6265,34629,,,,9,50,,,
Seychelles,Africa,51220,52081,,,,172,175,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Denmark,Europe,3434511,58984,,,,9631,165,,,
Botswana,Africa,330417,14051,,,,2800,119,,,
Mauritius,Africa,327256,25732,,,,1070,84,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
Iceland,Europe,209903,57644,4,1,4,186,51,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Armenia,Europe,451831,15248,,,,8777,296,,,
Albania,Europe,334863,11636,,,,3605,125,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Dominica,Americas,15760,21892,,,,74,103,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Eswatini,Africa,75191,6481,,,,1427,123,,,
Belize,Americas,70804,17807,,,,688,173,,,
Bahamas,Americas,38084,9685,,,,844,215,,,
Mozambique,Africa,233731,748,,,,2250,7,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Belgium,Europe,4860053,42179,364,3,364,34339,298,,,
Romania,Europe,3524829,18236,558,3,558,68701,355,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Cambodia,Western Pacific,139095,832,2,,2,3056,18,,,
Cook Islands,Western Pacific,7203,41010,,,,2,11,,,
Sao Tome and Principe,Africa,6736,3074,,,,80,37,,,
Luxembourg,Europe,391176,62477,42,7,42,1000,160,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Argentina,Americas,10087163,22319,,,,130577,289,,,
South Africa,Africa,4072636,6867,,,,102595,173,,,
Fesco,Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Norway,Europe,1506934,28075,100,2,100,5732,107,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Colombia,Americas,6380026,12539,,,,142727,281,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Brazil,Americas,37519960,17652,,,,702116,330,,,
Türkiye,Europe,17004677,20162,,,,101419,120,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
El Salvador,Americas,201810,3111,,,,4230,65,,,
Kazakhstan,Europe,1503687,8008,,,,19072,102,,,
